Record_ID,Mission_Name,Mission_Type,Lead_Country,Lead_ISO_Code,Lead_Country_Region,Operation_Location,Operation_Region,Threat_Level,Command_HQ,Operation_Start_Year,Operation_End_Year,Duration_Years,Mission_Phase,Troops_Deployed,Air_Assets_Deployed,Naval_Assets_Deployed,Casualties,Casualties_Rate_Pct,Mission_Cost_M_USD,Cost_Per_Soldier_USD,Contributing_Countries_Count,NATO_Led,UN_Mandate,Mission_Outcome,Mission_Status,Classification,Media_Coverage,Public_Support_Pct,After_Action_Report
67,Operation Ocean Shield 00067,Maritime Security,Czech Republic,CZE,Central Europe,Horn of Africa,Africa,Medium,LANDCOM,2008,2011,3,Execution,72119,139,1,1774,2.46,3863.67,53573.54,30,No,Yes,Ongoing,Completed,NATO Confidential,Minimal,44.3,Pending
68,Operation Dawn Patrol 00068,Disaster Relief,Romania,ROU,Eastern Europe,Mali,Africa,Medium,JFC Naples,1977,1990,13,Deployment,27543,141,42,800,2.905,2340.74,84984.93,24,Joint UN-NATO,Yes,Ongoing,Active,NATO Restricted,High,85.2,Classified
69,Operation Arctic Patrol 00069,Combat,United States,USA,North America,Black Sea,Europe,Medium,ACO Mons,2022,2024,2,Drawdown,24427,137,28,925,3.787,368.47,15084.54,22,Joint UN-NATO,Yes,Partially Successful,Active,NATO Restricted,Medium,44.1,N/A
70,Operation Resolute Support 00070,Maritime Security,United States,USA,North America,Sahel Region,Africa,High,JFC Brunssum,2009,2021,12,Transition,946,150,43,5,0.529,2145.14,2267589.85,6,Yes,Yes,Partially Successful,Active,NATO Restricted,Minimal,21.0,Pending
71,Operation Freedom Sentinel 00071,CBRN Response,Albania,ALB,Southern Europe,Mediterranean Sea,Europe,Low,JFC Naples,2019,2024,5,Deployment,6519,163,5,241,3.697,8470.98,1299429.36,21,Joint UN-NATO,Yes,Inconclusive,Active,NATO Restricted,Minimal,61.7,Pending
72,Operation Desert Falcon 00072,Air Policing,France,FRA,Western Europe,Eastern Europe,Europe,Medium,ACO Mons,2004,2022,18,Deployment,29444,176,1,179,0.608,2863.41,97249.35,2,Joint UN-NATO,Yes,Completed,Concluded,NATO Secret,Medium,88.0,N/A
73,Operation Eagle Eye 00073,Logistics Support,Canada,CAN,North America,Sahel Region,Africa,High,JFC Naples,1985,2001,16,Completed,54320,93,26,313,0.576,7270.13,133838.92,30,Joint UN-NATO,No,Inconclusive,Completed,Unclassified,High,20.8,Pending
74,Operation Baltic Eagle 00074,Counter-Terrorism,Greece,GRC,Southern Europe,Indian Ocean,Asia,Low,MARCOM,1970,1978,8,Completed,8372,148,45,317,3.786,5885.43,702989.73,18,Joint UN-NATO,Yes,Ongoing,Completed,Unclassified,High,91.7,Published
75,Operation Allied Shield 00075,CBRN Response,Italy,ITA,Southern Europe,Bosnia,Europe,Low,SHAPE Belgium,1967,1972,5,Planning,65286,132,15,1228,1.881,11958.42,183169.75,16,Joint UN-NATO,No,Withdrawn,Completed,Unclassified,Medium,42.1,Pending
76,Operation Swift Response 00076,Counter-Terrorism,Latvia,LVA,Northern Europe,Arctic Region,Arctic,Medium,MARCOM,2011,2021,10,Transition,18224,23,31,273,1.498,7177.85,393867.98,11,No,No,Mission Accomplished,Completed,NATO Restricted,Medium,62.0,Classified
77,Operation Iron Resolve 00077,Combat,Croatia,HRV,Southern Europe,Adriatic Sea,Europe,Low,ACO Mons,1996,2011,15,Completed,9030,74,41,305,3.378,10393.38,1150983.39,2,Joint UN-NATO,No,Ongoing,Active,NATO Confidential,High,22.0,Classified
78,Operation Adriatic Strike 00078,Counter-Terrorism,Bulgaria,BGR,Eastern Europe,Syria,Middle East,High,JFC Brunssum,1990,2010,20,Drawdown,51173,96,48,416,0.813,1277.07,24955.93,31,Joint UN-NATO,No,Withdrawn,Completed,NATO Secret,Minimal,76.7,N/A
79,Operation Iron Resolve 00079,CBRN Response,Sweden,SWE,Northern Europe,Mali,Africa,Medium,LANDCOM,1972,1991,19,Execution,54712,77,10,513,0.938,8686.68,158771.02,2,Joint UN-NATO,Yes,Successful,Completed,NATO Confidential,High,23.4,Published
80,Operation Hammer Force 00080,Counter-Terrorism,Greece,GRC,Southern Europe,Syria,Middle East,High,JFC Brunssum,1976,1978,2,Execution,50762,105,35,705,1.389,1160.61,22863.76,17,Yes,No,Ongoing,On Hold,Unclassified,High,42.3,N/A
81,Operation Baltic Fortress 00081,Reconnaissance,Slovenia,SVN,Southern Europe,Mediterranean Sea,Europe,Low,MARCOM,2021,2022,1,Completed,48991,164,41,1726,3.523,517.43,10561.74,11,Yes,No,Successful,Suspended,NATO Restricted,High,74.7,N/A
82,Operation Anaconda 00082,Peacekeeping,Sweden,SWE,Northern Europe,North Sea,Europe,Low,JFC Brunssum,2020,2024,4,Completed,57883,57,10,1357,2.344,11143.82,192523.19,14,Joint UN-NATO,No,Withdrawn,Completed,NATO Restricted,Medium,68.9,Pending
83,Operation Red Arrow 00083,Combat,Croatia,HRV,Southern Europe,Bosnia,Europe,Low,MARCOM,1956,1963,7,Transition,63006,61,13,1952,3.098,181.39,2878.93,6,Yes,Yes,Suspended,On Hold,Unclassified,Minimal,32.5,Pending
84,Operation Baltic Eagle 00084,Training Exercise,Portugal,PRT,Western Europe,Sahel Region,Africa,High,STRIKFORNATO,2009,2011,2,Planning,66642,100,2,2174,3.262,2420.56,36321.84,18,No,Yes,Withdrawn,Active,NATO Confidential,Low,35.8,Pending
85,Operation Brilliant Jump 00085,Humanitarian Aid,France,FRA,Western Europe,Persian Gulf,Middle East,Medium,STRIKFORNATO,1988,2000,12,Completed,41386,107,40,926,2.237,8750.35,211432.61,22,Yes,Yes,Completed,Completed,NATO Confidential,High,35.6,Published
86,Operation Baltic Eagle 00086,Disaster Relief,Czech Republic,CZE,Central Europe,Eastern Europe,Europe,Medium,SHAPE Belgium,2013,2017,4,Drawdown,47278,60,21,1357,2.87,6162.42,130344.35,13,Yes,Yes,Suspended,On Hold,Unclassified,Low,64.1,Pending
87,Operation Dynamic Front 00087,Air Policing,Hungary,HUN,Central Europe,Horn of Africa,Africa,Medium,AIRCOM,1979,1986,7,Completed,8859,157,13,90,1.016,9772.1,1103070.32,28,No,No,Transitioned to UN,On Hold,NATO Confidential,High,81.6,Classified
88,Operation Allied Shield 00088,Search and Rescue,Portugal,PRT,Western Europe,Afghanistan,Asia,High,JFC Brunssum,1973,1991,18,Drawdown,38992,172,43,1547,3.967,5951.45,152632.59,28,Joint UN-NATO,No,Partially Successful,Active,NATO Restricted,Low,48.5,Published
89,Operation Glacier Watch 00089,Maritime Security,Portugal,PRT,Western Europe,Red Sea,Middle East,Medium,STRIKFORNATO,1961,1970,9,Planning,57035,29,46,464,0.814,7553.28,132432.37,3,Joint UN-NATO,No,Inconclusive,Active,NATO Confidential,High,20.4,N/A
90,Operation Eagle Eye 00090,Naval Patrol,Canada,CAN,North America,Barents Sea,Arctic,Medium,STRIKFORNATO,1961,1962,1,Transition,73661,112,15,902,1.225,9305.29,126325.87,29,Joint UN-NATO,No,Completed,Active,Unclassified,Low,45.9,Classified
91,Operation Desert Falcon 00091,Amphibious Exercise,Hungary,HUN,Central Europe,Arctic Region,Arctic,Medium,JFC Naples,1962,1978,16,Deployment,42955,139,24,268,0.624,9806.65,228300.55,31,Joint UN-NATO,Yes,Withdrawn,Completed,Unclassified,High,29.7,Classified
92,Operation Mountain Shield 00092,Disaster Relief,Czech Republic,CZE,Central Europe,Eastern Europe,Europe,Medium,LANDCOM,2017,2024,7,Completed,45093,37,35,78,0.173,7668.69,170063.87,7,No,Yes,Inconclusive,Transitioned,NATO Secret,Low,90.6,N/A
93,Operation Active Endeavour 00093,Ballistic Missile Defense,Lithuania,LTU,Northern Europe,Sahel Region,Africa,High,JFC Brunssum,1966,1974,8,Drawdown,45454,172,2,166,0.365,7539.48,165870.55,31,No,Yes,Partially Successful,Planned,NATO Confidential,Medium,82.8,Pending
94,Operation Eagle Eye 00094,Special Operations,Italy,ITA,Southern Europe,Sahel Region,Africa,High,AIRCOM,1984,1994,10,Transition,64433,47,31,1918,2.977,7799.77,121052.41,31,Joint UN-NATO,Yes,Ongoing,Completed,NATO Confidential,Low,79.7,Pending
95,Operation Viking 00095,Amphibious Exercise,Lithuania,LTU,Northern Europe,Afghanistan,Asia,High,JFC Naples,1994,2001,7,Execution,30332,159,17,22,0.073,3473.76,114524.59,10,Joint UN-NATO,Yes,Transitioned to UN,Transitioned,NATO Secret,Low,41.0,Classified
96,Operation Ocean Shield 00096,CBRN Response,Estonia,EST,Northern Europe,Baltic Sea,Europe,Low,JFC Naples,1982,1983,1,Completed,18764,12,34,623,3.32,253.6,13515.24,2,Yes,Yes,Partially Successful,Completed,Unclassified,Low,20.9,Pending
97,Operation Rapid Falcon 00097,Amphibious Exercise,Spain,ESP,Western Europe,Eastern Europe,Europe,Medium,STRIKFORNATO,1970,1973,3,Deployment,54617,189,47,880,1.611,3028.58,55451.23,11,Yes,No,Completed,Suspended,NATO Confidential,Minimal,90.0,Pending
