Record_ID,Country,ISO_Code,Join_Year,Founding_Member,Nuclear_Sharing,Region,Capital,Equipment_Type,Equipment_Category,Domain,Notable_Models,Units_Count,Operational_Status,Condition,Year_Acquired,Equipment_Age_Years,Unit_Cost_M_USD,Total_Value_M_USD,Country_of_Origin,NATO_Standardized,Interoperable,Last_Maintenance_Year,Next_Upgrade_Due,Combat_Ready_Pct
17,Albania,ALB,2009,No,No,Southern Europe,Tirana,Light Tank,Armored,Land,CV90105 / AMX-10RC,472,In Maintenance,Good,2016,8,33.2,15670.4,USA,No,No,2017,2027,40.3
18,Albania,ALB,2009,No,No,Southern Europe,Tirana,Combat Engineer Vehicle,Engineering,Land,M9 ACE / Leopard 2 AEV,986,On Order,Needs Repair,2010,14,235.04,231749.44,Multi-National,Partial,Yes,2020,2025,57.0
19,Albania,ALB,2009,No,No,Southern Europe,Tirana,Combat Engineer Vehicle,Engineering,Land,M9 ACE / Leopard 2 AEV,584,Decommissioning,Needs Repair,2021,3,173.93,101575.12,Germany,No,Yes,2024,2031,93.8
20,Albania,ALB,2009,No,No,Southern Europe,Tirana,Combat Engineer Vehicle,Engineering,Land,M9 ACE / Leopard 2 AEV,1617,Reserve,Needs Repair,2023,1,323.85,523665.45,Germany,Partial,Yes,2023,2029,90.7
21,Albania,ALB,2009,No,No,Southern Europe,Tirana,Ballistic Missile Defense,Strategic,Land,THAAD / Aegis Ashore,1443,Reserve,Good,2014,10,413.7,596969.1,USA,Partial,Yes,2016,2035,72.5
22,Albania,ALB,2009,No,No,Southern Europe,Tirana,Ballistic Missile Defense,Strategic,Land,THAAD / Aegis Ashore,1673,In Maintenance,Excellent,2012,12,331.8,555101.4,Germany,Yes,Yes,2022,2024,77.6
23,Albania,ALB,2009,No,No,Southern Europe,Tirana,Ballistic Missile Defense,Strategic,Land,THAAD / Aegis Ashore,1280,On Order,Excellent,2011,13,27.01,34572.8,USA,Partial,Yes,2017,2028,69.3
24,Albania,ALB,2009,No,No,Southern Europe,Tirana,Ballistic Missile Defense,Strategic,Land,THAAD / Aegis Ashore,419,Decommissioning,Good,2023,1,155.58,65188.02,Turkey,No,Yes,2024,2026,87.1
25,Albania,ALB,2009,No,No,Southern Europe,Tirana,AWACS Aircraft,Air Force,Air,E-3 Sentry / E-7A,985,On Order,Fair,2023,1,144.72,142549.2,Multi-National,Partial,No,2024,2026,62.7
26,Albania,ALB,2009,No,No,Southern Europe,Tirana,AWACS Aircraft,Air Force,Air,E-3 Sentry / E-7A,1768,Decommissioning,Excellent,2010,14,146.78,259507.04,Multi-National,Partial,No,2016,2034,73.2
27,Albania,ALB,2009,No,No,Southern Europe,Tirana,AWACS Aircraft,Air Force,Air,E-3 Sentry / E-7A,1496,Decommissioning,Good,2012,12,176.93,264687.28,Turkey,Yes,No,2014,2025,67.4
28,Albania,ALB,2009,No,No,Southern Europe,Tirana,Sniper Rifle System,Small Arms,Land,Barrett M82 / Accuracy Int.,408,On Order,Good,2023,1,354.35,144574.8,Germany,Yes,No,2023,2026,49.3
29,Albania,ALB,2009,No,No,Southern Europe,Tirana,Sniper Rifle System,Small Arms,Land,Barrett M82 / Accuracy Int.,1958,In Maintenance,Excellent,2015,9,333.58,653149.64,Israel,No,Yes,2019,2027,73.1
30,Albania,ALB,2009,No,No,Southern Europe,Tirana,Radar System,Electronics,Land,AN/TPY-2 / AN/MPQ-65,486,Reserve,Good,2014,10,146.63,71262.18,Multi-National,Yes,No,2022,2028,56.0
31,Albania,ALB,2009,No,No,Southern Europe,Tirana,Radar System,Electronics,Land,AN/TPY-2 / AN/MPQ-65,252,Upgrading,Needs Repair,2024,0,326.29,82225.08,France,Yes,No,2024,2027,96.4
32,Albania,ALB,2009,No,No,Southern Europe,Tirana,Maritime Helicopter,Aviation,Air,AW159 / MH-60R,683,Decommissioning,Needs Repair,2017,7,389.51,266035.33,USA,Yes,No,2024,2024,51.2
33,Albania,ALB,2009,No,No,Southern Europe,Tirana,Maritime Helicopter,Aviation,Air,AW159 / MH-60R,359,Operational,Fair,2023,1,31.91,11455.69,France,Partial,No,2024,2035,46.7
34,Albania,ALB,2009,No,No,Southern Europe,Tirana,Maritime Helicopter,Aviation,Air,AW159 / MH-60R,1006,Decommissioning,End-of-Life,2019,5,62.65,63025.9,France,Yes,Yes,2019,2034,85.1
35,Albania,ALB,2009,No,No,Southern Europe,Tirana,Maritime Helicopter,Aviation,Air,AW159 / MH-60R,203,Upgrading,Excellent,2013,11,357.06,72483.18,Multi-National,Yes,Yes,2013,2024,55.9
36,Albania,ALB,2009,No,No,Southern Europe,Tirana,Frigate,Naval,Sea,FREMM / Type 23 / FREMM,1003,Decommissioning,End-of-Life,2023,1,233.62,234320.86,Turkey,No,Yes,2024,2034,70.8
37,Albania,ALB,2009,No,No,Southern Europe,Tirana,Frigate,Naval,Sea,FREMM / Type 23 / FREMM,380,Upgrading,Excellent,2016,8,287.02,109067.6,Domestic,Yes,Yes,2020,2028,54.2
38,Albania,ALB,2009,No,No,Southern Europe,Tirana,Frigate,Naval,Sea,FREMM / Type 23 / FREMM,796,Decommissioning,Fair,2011,13,366.7,291893.2,USA,No,Yes,2016,2026,97.2
39,Albania,ALB,2009,No,No,Southern Europe,Tirana,Frigate,Naval,Sea,FREMM / Type 23 / FREMM,1787,In Maintenance,End-of-Life,2011,13,10.77,19245.99,Germany,Partial,No,2021,2024,45.5
40,Albania,ALB,2009,No,No,Southern Europe,Tirana,Logistics Support Vessel,Naval,Sea,Supply / Berlin-class,980,On Order,End-of-Life,2017,7,294.36,288472.8,France,Yes,Yes,2017,2033,64.9
41,Albania,ALB,2009,No,No,Southern Europe,Tirana,Logistics Support Vessel,Naval,Sea,Supply / Berlin-class,964,Decommissioning,Needs Repair,2011,13,95.08,91657.12,USA,Partial,Yes,2013,2030,42.9
42,Albania,ALB,2009,No,No,Southern Europe,Tirana,Infantry Fighting Vehicle,Armored,Land,Bradley / Puma / AS-21,1500,In Maintenance,Excellent,2013,11,52.44,78660.0,Turkey,No,No,2023,2026,43.2
43,Albania,ALB,2009,No,No,Southern Europe,Tirana,Infantry Fighting Vehicle,Armored,Land,Bradley / Puma / AS-21,1242,Upgrading,Needs Repair,2011,13,52.61,65341.62,USA,Yes,Yes,2011,2025,77.0
44,Albania,ALB,2009,No,No,Southern Europe,Tirana,Ammunition Supply Vehicle,Logistics,Support,PLS / DROPS,916,On Order,End-of-Life,2013,11,325.49,298148.84,Turkey,Yes,Yes,2022,2035,83.7
45,Albania,ALB,2009,No,No,Southern Europe,Tirana,Ammunition Supply Vehicle,Logistics,Support,PLS / DROPS,77,Upgrading,Needs Repair,2018,6,257.56,19832.12,Italy,Yes,Yes,2023,2026,67.3
46,Albania,ALB,2009,No,No,Southern Europe,Tirana,Multiple Launch Rocket System,Artillery,Land,M270 / HIMARS / BM-21,1663,Operational,Good,2018,6,349.6,581384.8,UK,Yes,Yes,2018,2028,41.4
47,Albania,ALB,2009,No,No,Southern Europe,Tirana,Multiple Launch Rocket System,Artillery,Land,M270 / HIMARS / BM-21,1145,In Maintenance,Fair,2021,3,281.59,322420.55,Domestic,Partial,No,2022,2026,75.7
48,Albania,ALB,2009,No,No,Southern Europe,Tirana,Multiple Launch Rocket System,Artillery,Land,M270 / HIMARS / BM-21,771,Decommissioning,Good,2013,11,8.19,6314.49,Italy,No,No,2014,2035,84.1
49,Albania,ALB,2009,No,No,Southern Europe,Tirana,Multiple Launch Rocket System,Artillery,Land,M270 / HIMARS / BM-21,4,Decommissioning,End-of-Life,2015,9,322.2,1288.8,Italy,Yes,No,2015,2025,53.7
50,Albania,ALB,2009,No,No,Southern Europe,Tirana,Short-Range Air Defense,Air Defense,Land,SHORAD / Gepard / Stinger,244,Upgrading,Fair,2013,11,124.32,30334.08,Multi-National,No,No,2019,2028,85.7
51,Albania,ALB,2009,No,No,Southern Europe,Tirana,Short-Range Air Defense,Air Defense,Land,SHORAD / Gepard / Stinger,268,Reserve,Excellent,2015,9,380.93,102089.24,Germany,Yes,Yes,2022,2024,65.3
52,Albania,ALB,2009,No,No,Southern Europe,Tirana,Short-Range Air Defense,Air Defense,Land,SHORAD / Gepard / Stinger,743,Decommissioning,Needs Repair,2014,10,215.95,160450.85,UK,Yes,Yes,2023,2033,43.7
53,Albania,ALB,2009,No,No,Southern Europe,Tirana,NBC Detection Vehicle,CBRN,Land,Fox / TPz Fuchs,1479,Decommissioning,Excellent,2011,13,194.33,287414.07,Israel,Yes,Yes,2013,2028,71.8
54,Albania,ALB,2009,No,No,Southern Europe,Tirana,NBC Detection Vehicle,CBRN,Land,Fox / TPz Fuchs,1937,Reserve,Good,2012,12,154.4,299072.8,Domestic,Yes,No,2012,2027,43.5
55,Albania,ALB,2009,No,No,Southern Europe,Tirana,NBC Detection Vehicle,CBRN,Land,Fox / TPz Fuchs,36,Upgrading,Needs Repair,2020,4,408.64,14711.04,Turkey,No,No,2022,2033,43.9
56,Albania,ALB,2009,No,No,Southern Europe,Tirana,NBC Detection Vehicle,CBRN,Land,Fox / TPz Fuchs,908,Upgrading,Good,2020,4,167.7,152271.6,France,No,No,2020,2026,90.1
57,Albania,ALB,2009,No,No,Southern Europe,Tirana,Medium-Range SAM,Air Defense,Land,Patriot / NASAMS / SAMP/T,947,Operational,End-of-Life,2022,2,1.73,1638.31,Domestic,Yes,Yes,2022,2027,41.6
58,Albania,ALB,2009,No,No,Southern Europe,Tirana,Medium-Range SAM,Air Defense,Land,Patriot / NASAMS / SAMP/T,1868,Operational,Needs Repair,2022,2,249.45,465972.6,Israel,No,Yes,2023,2026,65.4
59,Albania,ALB,2009,No,No,Southern Europe,Tirana,Medium-Range SAM,Air Defense,Land,Patriot / NASAMS / SAMP/T,89,On Order,Fair,2009,15,232.82,20720.98,Turkey,Yes,Yes,2009,2035,46.5
60,Albania,ALB,2009,No,No,Southern Europe,Tirana,Field Hospital,Medical,Support,Role 2 / Role 3 Hospital,1444,In Maintenance,End-of-Life,2010,14,208.82,301536.08,Domestic,No,No,2011,2027,43.2
61,Albania,ALB,2009,No,No,Southern Europe,Tirana,Field Hospital,Medical,Support,Role 2 / Role 3 Hospital,1461,Operational,Fair,2016,8,149.8,218857.8,Italy,Partial,No,2023,2028,51.9
62,Albania,ALB,2009,No,No,Southern Europe,Tirana,Field Hospital,Medical,Support,Role 2 / Role 3 Hospital,822,In Maintenance,Excellent,2014,10,51.84,42612.48,Domestic,Partial,No,2016,2029,71.8
63,Albania,ALB,2009,No,No,Southern Europe,Tirana,Bridge Layer,Engineering,Land,AVLB / Biber,1387,On Order,Needs Repair,2020,4,201.35,279272.45,UK,No,Yes,2021,2025,73.6
64,Albania,ALB,2009,No,No,Southern Europe,Tirana,Bridge Layer,Engineering,Land,AVLB / Biber,685,In Maintenance,End-of-Life,2015,9,449.89,308174.65,Israel,Yes,No,2019,2030,93.3
65,Albania,ALB,2009,No,No,Southern Europe,Tirana,Bridge Layer,Engineering,Land,AVLB / Biber,896,Decommissioning,Excellent,2013,11,35.98,32238.08,Multi-National,Yes,Yes,2024,2031,41.1
66,Albania,ALB,2009,No,No,Southern Europe,Tirana,Bridge Layer,Engineering,Land,AVLB / Biber,119,Upgrading,Excellent,2017,7,181.64,21615.16,UK,No,Yes,2018,2025,43.0
67,Albania,ALB,2009,No,No,Southern Europe,Tirana,Patrol Vessel,Naval,Sea,OPV / Fast Attack Craft,996,Reserve,Excellent,2023,1,56.38,56154.48,Domestic,Partial,No,2023,2032,86.0
68,Albania,ALB,2009,No,No,Southern Europe,Tirana,Patrol Vessel,Naval,Sea,OPV / Fast Attack Craft,1132,Decommissioning,Fair,2011,13,369.34,418092.88,Domestic,No,Yes,2021,2035,43.9
69,Albania,ALB,2009,No,No,Southern Europe,Tirana,Patrol Vessel,Naval,Sea,OPV / Fast Attack Craft,1608,Decommissioning,End-of-Life,2014,10,19.51,31372.08,Multi-National,Yes,No,2024,2033,89.2
70,Albania,ALB,2009,No,No,Southern Europe,Tirana,Patrol Vessel,Naval,Sea,OPV / Fast Attack Craft,1905,Decommissioning,Needs Repair,2021,3,352.6,671703.0,France,Partial,Yes,2022,2031,75.4
71,Albania,ALB,2009,No,No,Southern Europe,Tirana,Aircraft Carrier,Naval,Sea,Gerald R. Ford / Queen Elizabeth,248,Decommissioning,Fair,2022,2,172.31,42732.88,USA,No,No,2022,2026,53.0
72,Albania,ALB,2009,No,No,Southern Europe,Tirana,Aircraft Carrier,Naval,Sea,Gerald R. Ford / Queen Elizabeth,589,Decommissioning,Fair,2010,14,218.52,128708.28,France,Yes,Yes,2022,2029,66.2
73,Albania,ALB,2009,No,No,Southern Europe,Tirana,Aircraft Carrier,Naval,Sea,Gerald R. Ford / Queen Elizabeth,433,Operational,End-of-Life,2018,6,262.5,113662.5,Turkey,Yes,Yes,2023,2028,49.9
74,Albania,ALB,2009,No,No,Southern Europe,Tirana,Aircraft Carrier,Naval,Sea,Gerald R. Ford / Queen Elizabeth,884,Upgrading,Excellent,2013,11,12.32,10890.88,Multi-National,No,Yes,2014,2025,64.6
75,Albania,ALB,2009,No,No,Southern Europe,Tirana,Submarine (SSK),Naval,Sea,Type 212 / Gotland,1355,On Order,Fair,2009,15,284.06,384901.3,USA,Partial,Yes,2016,2029,81.0
76,Albania,ALB,2009,No,No,Southern Europe,Tirana,Submarine (SSK),Naval,Sea,Type 212 / Gotland,1539,Operational,Excellent,2023,1,405.42,623941.38,Turkey,Yes,No,2023,2025,98.1
77,Albania,ALB,2009,No,No,Southern Europe,Tirana,Mortar System,Artillery,Land,M120 / AMOS,1833,In Maintenance,Good,2017,7,137.2,251487.6,USA,No,No,2020,2033,98.9
78,Albania,ALB,2009,No,No,Southern Europe,Tirana,Mortar System,Artillery,Land,M120 / AMOS,1993,Operational,End-of-Life,2020,4,197.23,393079.39,Germany,Yes,Yes,2022,2032,42.8
79,Albania,ALB,2009,No,No,Southern Europe,Tirana,Mortar System,Artillery,Land,M120 / AMOS,973,Operational,Good,2019,5,213.24,207482.52,France,No,Yes,2021,2033,64.2
80,Albania,ALB,2009,No,No,Southern Europe,Tirana,UAV / Drone,Air Force,Air,MQ-9 Reaper / Bayraktar TB2,1370,Decommissioning,Needs Repair,2011,13,420.4,575948.0,UK,Yes,No,2019,2032,49.0
81,Albania,ALB,2009,No,No,Southern Europe,Tirana,UAV / Drone,Air Force,Air,MQ-9 Reaper / Bayraktar TB2,1489,On Order,Needs Repair,2021,3,260.58,388003.62,Domestic,No,Yes,2023,2027,82.7
82,Albania,ALB,2009,No,No,Southern Europe,Tirana,UAV / Drone,Air Force,Air,MQ-9 Reaper / Bayraktar TB2,531,Upgrading,Excellent,2011,13,355.66,188855.46,Italy,No,Yes,2018,2032,78.5
83,Albania,ALB,2009,No,No,Southern Europe,Tirana,UAV / Drone,Air Force,Air,MQ-9 Reaper / Bayraktar TB2,364,On Order,End-of-Life,2024,0,128.21,46668.44,Multi-National,Yes,No,2024,2029,46.4
84,Albania,ALB,2009,No,No,Southern Europe,Tirana,Self-Propelled Howitzer,Artillery,Land,PzH 2000 / K9 Thunder / Caesar,1191,On Order,Excellent,2021,3,82.19,97888.29,Israel,Partial,No,2024,2030,72.8
85,Albania,ALB,2009,No,No,Southern Europe,Tirana,Self-Propelled Howitzer,Artillery,Land,PzH 2000 / K9 Thunder / Caesar,1477,Upgrading,Excellent,2017,7,421.03,621861.31,UK,No,No,2019,2025,66.6
86,Albania,ALB,2009,No,No,Southern Europe,Tirana,Self-Propelled Howitzer,Artillery,Land,PzH 2000 / K9 Thunder / Caesar,315,In Maintenance,Good,2019,5,46.44,14628.6,Italy,Partial,Yes,2024,2030,56.5
87,Albania,ALB,2009,No,No,Southern Europe,Tirana,Ground Attack Aircraft,Air Force,Air,A-10 / Tornado IDS,258,Decommissioning,Good,2009,15,226.39,58408.62,UK,Partial,No,2016,2033,42.5
88,Albania,ALB,2009,No,No,Southern Europe,Tirana,Ground Attack Aircraft,Air Force,Air,A-10 / Tornado IDS,894,Upgrading,Needs Repair,2013,11,443.26,396274.44,Germany,Partial,No,2022,2033,44.1
89,Albania,ALB,2009,No,No,Southern Europe,Tirana,Ground Attack Aircraft,Air Force,Air,A-10 / Tornado IDS,47,Operational,Good,2011,13,40.59,1907.73,USA,Partial,Yes,2016,2034,85.3
90,Albania,ALB,2009,No,No,Southern Europe,Tirana,Ground Attack Aircraft,Air Force,Air,A-10 / Tornado IDS,1230,In Maintenance,Needs Repair,2014,10,449.36,552712.8,USA,Yes,Yes,2021,2035,64.4
91,Albania,ALB,2009,No,No,Southern Europe,Tirana,Long-Range SAM,Air Defense,Land,Patriot PAC-3 / S-400,701,Operational,Fair,2014,10,441.47,309470.47,Italy,Partial,Yes,2020,2029,86.7
92,Albania,ALB,2009,No,No,Southern Europe,Tirana,Long-Range SAM,Air Defense,Land,Patriot PAC-3 / S-400,1436,Reserve,Fair,2009,15,409.55,588113.8,UK,No,Yes,2017,2025,76.9
93,Albania,ALB,2009,No,No,Southern Europe,Tirana,Fighter Jet,Air Force,Air,F-16 / Gripen / Typhoon,653,On Order,Fair,2010,14,392.93,256583.29,UK,Yes,No,2016,2025,68.2
94,Albania,ALB,2009,No,No,Southern Europe,Tirana,Fighter Jet,Air Force,Air,F-16 / Gripen / Typhoon,1518,On Order,Excellent,2024,0,403.51,612528.18,Multi-National,Yes,No,2024,2032,72.4
95,Albania,ALB,2009,No,No,Southern Europe,Tirana,Fighter Jet,Air Force,Air,F-16 / Gripen / Typhoon,1860,Upgrading,End-of-Life,2009,15,389.9,725214.0,Germany,Yes,No,2011,2031,56.2
96,Albania,ALB,2009,No,No,Southern Europe,Tirana,Air Superiority Fighter,Air Force,Air,F-22 / Typhoon,1738,Reserve,End-of-Life,2012,12,354.38,615912.44,Germany,No,No,2016,2032,65.3
97,Albania,ALB,2009,No,No,Southern Europe,Tirana,Air Superiority Fighter,Air Force,Air,F-22 / Typhoon,1360,Decommissioning,Needs Repair,2016,8,314.65,427924.0,Multi-National,No,No,2024,2030,74.0
98,Albania,ALB,2009,No,No,Southern Europe,Tirana,Air Superiority Fighter,Air Force,Air,F-22 / Typhoon,1412,Decommissioning,Fair,2011,13,147.63,208453.56,Italy,Partial,Yes,2012,2025,76.8
99,Albania,ALB,2009,No,No,Southern Europe,Tirana,Air Superiority Fighter,Air Force,Air,F-22 / Typhoon,1481,On Order,Needs Repair,2014,10,26.84,39750.04,Italy,Yes,No,2014,2029,46.8
100,Albania,ALB,2009,No,No,Southern Europe,Tirana,Satellite Terminal,Communications,Digital,SATCOM / JTRS,162,Operational,Good,2022,2,307.4,49798.8,Multi-National,Partial,No,2022,2030,58.8
101,Albania,ALB,2009,No,No,Southern Europe,Tirana,Satellite Terminal,Communications,Digital,SATCOM / JTRS,843,Decommissioning,Fair,2013,11,45.45,38314.35,Italy,No,Yes,2019,2031,40.5
102,Albania,ALB,2009,No,No,Southern Europe,Tirana,Satellite Terminal,Communications,Digital,SATCOM / JTRS,52,Reserve,End-of-Life,2018,6,363.24,18888.48,UK,Yes,Yes,2020,2030,99.8
103,Albania,ALB,2009,No,No,Southern Europe,Tirana,Towed Howitzer,Artillery,Land,M777 / FH70 / D-30,1773,On Order,End-of-Life,2017,7,353.59,626915.07,Israel,No,No,2023,2024,59.6
104,Albania,ALB,2009,No,No,Southern Europe,Tirana,Towed Howitzer,Artillery,Land,M777 / FH70 / D-30,894,Reserve,Fair,2017,7,73.24,65476.56,Israel,No,No,2024,2029,72.2
105,Albania,ALB,2009,No,No,Southern Europe,Tirana,Towed Howitzer,Artillery,Land,M777 / FH70 / D-30,61,Reserve,Fair,2023,1,352.24,21486.64,France,Yes,Yes,2024,2026,54.5
106,Albania,ALB,2009,No,No,Southern Europe,Tirana,Towed Howitzer,Artillery,Land,M777 / FH70 / D-30,1604,Upgrading,Needs Repair,2020,4,116.51,186882.04,Germany,Partial,Yes,2023,2029,82.0
107,Albania,ALB,2009,No,No,Southern Europe,Tirana,Armored Reconnaissance Vehicle,Armored,Land,Fennek / Fuchs,224,Decommissioning,End-of-Life,2021,3,284.86,63808.64,Italy,Yes,Yes,2021,2035,95.8
108,Albania,ALB,2009,No,No,Southern Europe,Tirana,Armored Reconnaissance Vehicle,Armored,Land,Fennek / Fuchs,873,Operational,Good,2014,10,385.08,336174.84,Germany,No,Yes,2021,2030,97.8
109,Albania,ALB,2009,No,No,Southern Europe,Tirana,Strategic Transport Aircraft,Air Force,Air,C-17 / A400M / C-130,1423,In Maintenance,Fair,2024,0,140.12,199390.76,USA,No,Yes,2024,2025,50.6
110,Albania,ALB,2009,No,No,Southern Europe,Tirana,Strategic Transport Aircraft,Air Force,Air,C-17 / A400M / C-130,1454,Decommissioning,Fair,2012,12,41.99,61053.46,Multi-National,Partial,No,2012,2024,85.6
111,Albania,ALB,2009,No,No,Southern Europe,Tirana,Strategic Transport Aircraft,Air Force,Air,C-17 / A400M / C-130,1101,Decommissioning,End-of-Life,2009,15,49.2,54169.2,Israel,No,No,2013,2027,92.4
112,Albania,ALB,2009,No,No,Southern Europe,Tirana,Anti-Aircraft Gun,Air Defense,Land,Oerlikon 35mm / ZU-23,1185,Operational,Fair,2020,4,200.12,237142.2,Turkey,Yes,No,2022,2026,78.3
113,Albania,ALB,2009,No,No,Southern Europe,Tirana,Anti-Aircraft Gun,Air Defense,Land,Oerlikon 35mm / ZU-23,872,Operational,Good,2011,13,66.7,58162.4,Domestic,Yes,No,2014,2035,85.5
114,Albania,ALB,2009,No,No,Southern Europe,Tirana,Transport Helicopter,Aviation,Air,CH-47 Chinook / NH90,702,On Order,End-of-Life,2016,8,193.82,136061.64,Israel,Partial,Yes,2023,2032,61.0
115,Albania,ALB,2009,No,No,Southern Europe,Tirana,Transport Helicopter,Aviation,Air,CH-47 Chinook / NH90,1679,Reserve,End-of-Life,2014,10,166.14,278949.06,Germany,No,Yes,2015,2034,73.4
116,Albania,ALB,2009,No,No,Southern Europe,Tirana,Transport Helicopter,Aviation,Air,CH-47 Chinook / NH90,1540,Reserve,Fair,2016,8,226.81,349287.4,UK,Yes,Yes,2022,2028,58.3
117,Albania,ALB,2009,No,No,Southern Europe,Tirana,Anti-Tank Missile System,Anti-Armor,Land,Javelin / SPIKE / Milan,586,In Maintenance,Good,2023,1,152.67,89464.62,USA,Yes,Yes,2023,2026,96.0
118,Albania,ALB,2009,No,No,Southern Europe,Tirana,Anti-Tank Missile System,Anti-Armor,Land,Javelin / SPIKE / Milan,918,Decommissioning,Needs Repair,2018,6,346.5,318087.0,USA,No,No,2024,2030,85.8
119,Albania,ALB,2009,No,No,Southern Europe,Tirana,Anti-Tank Missile System,Anti-Armor,Land,Javelin / SPIKE / Milan,499,On Order,Good,2018,6,290.46,144939.54,Turkey,Yes,Yes,2019,2032,72.3
120,Albania,ALB,2009,No,No,Southern Europe,Tirana,Patrol Aircraft,Air Force,Air,P-8 Poseidon / Atlantic,349,Reserve,Excellent,2011,13,404.03,141006.47,Multi-National,Yes,Yes,2020,2030,97.6
121,Albania,ALB,2009,No,No,Southern Europe,Tirana,Patrol Aircraft,Air Force,Air,P-8 Poseidon / Atlantic,1695,On Order,Good,2010,14,115.09,195077.55,Domestic,No,Yes,2015,2035,72.7
122,Albania,ALB,2009,No,No,Southern Europe,Tirana,Patrol Aircraft,Air Force,Air,P-8 Poseidon / Atlantic,1701,In Maintenance,Fair,2013,11,120.41,204817.41,France,No,Yes,2013,2035,87.2
123,Albania,ALB,2009,No,No,Southern Europe,Tirana,Patrol Aircraft,Air Force,Air,P-8 Poseidon / Atlantic,1518,On Order,Needs Repair,2012,12,231.86,351963.48,Turkey,No,No,2020,2025,90.5
124,Albania,ALB,2009,No,No,Southern Europe,Tirana,Cyber Defense Unit,Cyber,Digital,CCDCOE / NATO Cyber Centre,354,On Order,Fair,2017,7,114.72,40610.88,UK,No,No,2017,2032,52.6
